RIO;COORD- X;COORD- Y;PUNTO;FECHA;Temperatura;Ph;Oxigeno disuelto;Solidos_Totales;Nitratos;Fosfatos;Turbiedad;DBO5;Coliformes fecales;CALIDAD AGUA NSF;Clasificacion 
RIO PASTAZA;831735,40;9814369,40;P2;4/1/2020;21,8;7,5;6,8;89;4,5;0,06;3,9;10,6;2489;56,43;Regular 
RIO PASTAZA;170139,90;9816121,60;P1;7/4/2020;21,3;6,5;7,5;83;3,9;0,07;3,2;14,6;2500;53,58;Regular 
RIO PASTAZA;831735,40;9814369,40;P2;2/4/2020;21,1;7,2;8,6;81;3,5;0,08;5,1;11,5;745;61,30;Regular 
RIO PASTAZA;170139,90;9816121,60;P1;6/8/2020;20,2;7,2;8,3;65;3,8;0,07;6;13,5;894;59,10;Regular 
RIO PASTAZA;831735,40;9814369,40;P2;9/8/2020;20,3;6,9;7,8;79;3,9;0,08;5,3;11,9;800;59,44;Regular 
RIO PASTAZA;170139,90;9816121,60;P1;10/12/2020;20,7;7,1;6,6;72;4,8;0,01;5,7;11,8;978;57,74;Regular 
RIO PASTAZA;831735,40;9814369,40;P2;4/12/2020;26,5;7,2;7,1;60;4,1;0,09;6;12;1058;58,91;Regular 
RIO PASTAZA;170139,90;9816121,60;P1;9/2/2021;19,9;6,7;6,8;69;4,7;0,03;5,1;12,1;1048;56,53;Regular 
RIO PASTAZA;831735,40;9814369,40;P2;7/2/2021;20,3;6,7;6,5;75;4,9;0,4;4,2;10,9;2345;49,63;Malo
RIO PASTAZA;170139,90;9816121,60;P1;6/6/2021;21;6,7;7,6;83;4,5;0,09;5,1;10,7;1597;57,01;Regular 
RIO PASTAZA;831735,40;9814369,40;P2;3/6/2021;21,6;7,2;8,5;81;5,1;0,5;2;11,5;2478;51,71;Regular 
RIO PASTAZA;170139,90;9816121,60;P1;4/10/2021;20;7,4;8,2;69;5,3;0,08;5,9;10,7;1079;59,06;Regular 
RIO PASTAZA;831735,40;9814369,40;P2;2/10/2021;20,7;7,6;8,6;100;5,9;0,9;4,8;10,6;896;51,82;Regular 
RIO PASTAZA;170139,90;9816121,60;P1;9/2/2022;23,2;6,9;7,5;83;4,7;0,03;5,3;14,6;1025;57,15;Regular 
RIO PASTAZA;831735,40;9814369,40;P2;6/2/2022;21,6;7,1;6,5;86;3,6;0,6;2,4;11,5;739;53,07;Regular 
RIO PASTAZA;170139,90;9816121,60;P1;9/6/2022;27;7,4;8,4;60;4,9;0,07;3,2;12,4;678;60,18;Regular 
RIO PASTAZA;831735,40;9814369,40;P2;7/6/2022;21,9;6,8;8,9;78;5,8;0,06;1,3;10,2;912;59,60;Regular 
RIO PASTAZA;170139,90;9816121,60;P1;6/10/2022;20,9;6,1;6,6;79;6,2;0,8;5,4;11,3;1001;48,17;Malo
RIO PASTAZA;831735,40;9814369,40;P2;3/10/2022;21,6;7,9;7,2;69;6,4;0,06;4,8;11,7;945;56,87;Regular 
RIO PASTAZA;170139,90;9816121,60;P1;8/2/2023;20,4;6,9;7,5;80;5,6;0,7;1;10,6;931;52,00;Regular 
RIO PASTAZA;831735,40;9814369,40;P2;5/2/2023;24;7,5;6,9;83;5,1;0,09;5,7;11,9;1569;56,54;Regular 
RIO CHIWIAS;829339,70;9785291,90;P1;2/1/2023;26;6,8;8,6;68;6,1;0,6;4,3;12,7;1899;49,37;Mala
RIO CHIWIAS;832193,80;9784622,80;P2;6/1/2018;21,6;7,5;8,5;70;4,9;0,09;2,3;11,9;846;59,93;Regular 
RIO CHIWIAS;829339,70;9785291,90;P1;8/4/2018;21;6,7;7,6;69;3,6;0,8;5,9;11,7;1923;49,82;Malo
RIO CHIWIAS;832193,80;9784622,80;P2;2/4/2018;23;7;7,1;79;4,6;0,8;4,6;13,9;2456;47,97;Malo
RIO CHIWIAS;829339,70;9785291,90;P1;7/8/2018;25,6;7,9;8,6;80;6,2;0,09;5,3;10,3;2378;55,87;Regular 
RIO CHIWIAS;832193,80;9784622,80;P2;3/8/2018;20,4;6,8;8,4;84;6,5;0,06;4,9;12,7;925;58,24;Regular 
RIO CHIWIAS;829339,70;9785291,90;P1;3/12/2018;21,9;7,2;7,2;72;5,6;0,07;3,6;10,3;1008;58,73;Regular 
RIO CHIWIAS;832193,80;9784622,80;P2;9/12/2018;25,1;7,9;8,6;69;5,1;0,02;5,9;11,3;978;59,66;Regular 
RIO CHIWIAS;829339,70;9785291,90;P1;3/2/2019;20,5;7,4;6,9;72;4,2;0,08;2,9;10,8;999;58,90;Regular 
RIO CHIWIAS;832193,80;9784622,80;P2;6/2/2019;23,5;7,6;8,6;76;5,9;0,09;2,7;13,5;1100;57,95;Regular 
RIO CHIWIAS;829339,70;9785291,90;P1;3/6/2019;21;6,9;6,7;79;5,2;0,07;2,5;11,4;1256;56,48;Regular 
RIO CHIWIAS;832193,80;9784622,80;P2;9/6/2019;20,9;7;8,6;71;4,9;0,05;3,6;13,9;894;58,54;Regular 
RIO CHIWIAS;829339,70;9785291,90;P1;12/10/2019;26,9;7,9;8,1;110;4,3;0,5;3,9;11,9;698;54,86;Regular 
RIO CHIWIAS;832193,80;9784622,80;P2;11/10/2019;26,5;7,3;7,8;78;5,3;0,07;5,6;13,4;1648;56,55;Regular 
RIO CHIWIAS;829339,70;9785291,90;P1;1/1/2020;19,7;7,4;7,2;88;5,4;0,08;4,1;13,7;891;56,52;Regular 
RIO CHIWIAS;832193,80;9784622,80;P2;9/1/2020;20,8;7,8;7,9;84;3,9;0,01;5,1;13,2;1625;57,84;Regular 
RIO CHIWIAS;829339,70;9785291,90;P1;12/4/2020;21,4;6,9;6,8;89;3,7;0,09;4,8;13,4;1845;55,08;Regular 
RIO CHIWIAS;832193,80;9784622,80;P2;15/4/2020;20,7;6,7;6,2;82;6,5;0,04;5,3;10,3;539;56,63;Regular 
RIO CHIWIAS;829339,70;9785291,90;P1;9/8/2020;20,1;7,6;8,4;73;3,6;0,8;5;14,6;1948;49,65;Malo
RIO CHIWIAS;832193,80;9784622,80;P2;7/8/2020;21,6;6,5;8,3;85;3,9;1;5,1;12,5;769;50,74;Regular 
RIO CHIWIAS;829339,70;9785291,90;P1;12/12/2020;20,8;7;8,5;79;4,5;0,09;3,6;10,6;945;60,30;Regular 
RIO CHIWIAS;832193,80;9784622,80;P2;10/12/2020;20,5;7,6;8,6;97;4,2;0,04;3,9;11,8;978;60,38;Regular 
RIO CHIWIAS;829339,70;9785291,90;P1;8/2/2021;21,5;7,1;7,5;65;6,5;0,06;5,1;14,2;924;55,84;Regular 
RIO CHIWIAS;832193,80;9784622,80;P2;6/2/2021;20;7,2;8,6;64;6,1;0,03;5,9;10,4;789;60,13;Regular 
RIO CHIWIAS;829339,70;9785291,90;P1;12/6/2021;21;6,2;8,9;79;4,2;1;0,89;11,9;1000;49,90;Malo
RIO CHIWIAS;832193,80;9784622,80;P2;15/6/2021;21,6;6,7;8,4;68;6,4;0,09;3;10,9;2048;55,41;Regular 
RIO CHIWIAS;829339,70;9785291,90;P1;7/10/2021;20;8;7,4;84;4,8;0,02;4,6;11,7;2169;56,26;Regular 
RIO CHIWIAS;832193,80;9784622,80;P2;5/10/2021;20,6;6,8;6,5;72;5,1;0,07;6;13,5;756;55,58;Regular 
RIO CHIWIAS;829339,70;9785291,90;P1;6/2/2022;19,9;7,4;6,3;79;5,7;0,02;3,8;10,9;793;57,50;Regular 
RIO CHIWIAS;832193,80;9784622,80;P2;3/2/2022;19,6;6,7;8;62;4,6;0,09;5,4;14,4;922;56,36;Regular 
RIO CHIWIAS;829339,70;9785291,90;P1;11/6/2022;23,5;6,9;8,6;76;3,6;0,09;4,9;14,6;1564;56,65;Regular 
RIO CHIWIAS;832193,80;9784622,80;P2;20/6/2022;27;7;8,1;73;6,3;0,7;4,5;11,6;1568;50,31;Regular 
RIO CHIWIAS;829339,70;9785291,90;P1;10/10/2022;20,9;7,9;8,6;80;3,4;0,08;3,5;13,5;2500;56,43;Regular 
RIO CHIWIAS;832193,80;9784622,80;P2;15/10/2022;20,4;6,9;8,5;86;5,8;0,5;1,9;11,1;956;53,43;Regular 
RIO CHIWIAS;829339,70;9785291,90;P1;16/2/2023;21,5;6,9;8,2;73;6,1;0,08;4;12,1;1056;57,29;Regular 
RIO CHIWIAS;832193,80;9784622,80;P2;4/2/2023;21;7,1;8,6;90;5,9;1;4,3;11,5;1018;50,63;Regular 
RIO ZAMORA;779.621;9.622.873;P1;7/1/2018 0:00;21,3;8;6,7;66;6,1;0,07;5,5;10;2500;54,41;Regular
