RIO;COORD- X;COORD- Y;PUNTO;FECHA;Temperatura;Ph;Oxigeno disuelto;Solidos_Totales;Nitratos;Fosfatos;Turbiedad;DBO5;Coliformes fecales;CALIDAD AGUA NSF;Clasificacion 
UPANO;823240,9;9753001,2;P3;5/10/2023 11:25;18,5;5,4;6,7;56,97;4,34;0,31;3,02;8,34;1240;49,95;Mala
RIO BLANCO;814064,8;9741347,3;P1;05/10/2023  13:25:00 p. m.;20,33;5,43;5,15;45;5,54;0,8;2,81;6,89;1122;47,42;Mala
RIO BLANCO;816577,1;9739070,6;P2;05/10/2023  16:25:00 p. m.;20,18;7,56;6,36;56,16;5,39;0,95;7,13;5,94;1928;51,7;Regular
YUQUIPA;177755,3;9753823,6;P1;6/10/2023 10:25;19,72;6,85;5,42;34,27;5,92;0,4;1,55;1,35;539;59,55;Regular
YUQUIPA;169088,8;9752598,1;P2;06/10/2023  13:25:00 p. m.;20,42;6,52;5,56;40,49;3,73;0,9;2,86;6,12;1394;52,37;Regular
YUQUIPA;819354,2;9734480,2;P3;06/10/2023  15:25:00 p. m.;18,03;5,81;5,78;93,88;5,71;0,44;4,19;3,27;568;53,55;Regular
PAN DE AZÚCAR;775073,8;9656337,5;P1;07/10/2023  13:25:00 p. m.;21,28;6,54;6,17;95,48;4,13;0,52;2,48;2,72;2352;55,91;Regular
KALAGLAS;771340,9;9649302,5;P1;8/10/2023 10:25;21,27;6,98;7,49;77,21;5,01;0,52;4,47;11,46;2834;49,73;Mala
KALAGLAS;771071,2;9643713;P2;08/10/2023  13:25:00 p. m.;20,02;6,46;7,02;76,21;3,9;0,13;2,07;5,12;1778;58,86;Regular
JURUMBAINO;819002,6;9740893,7;P1;9/10/2023 7:25;18,72;6,61;7,39;85,9;5,44;0,8;5,58;7,67;1763;49,06;Mala
JURUMBAINO;817191,1;9748924,1;P2;9/10/2023 9:25;16,51;5,25;7,89;74,81;2,28;0,88;5,51;9,5;2495;43,78;Mala
UPANO;819914,8;9764262;P1;6/4/2018 7:25;17,17;6,48;7,85;46,72;5,95;0,27;9,66;10,14;1474;49,81;Mala
UPANO;821124,7;9742271,2;P2;6/4/2018 9:25;17,74;6,02;7,14;94,81;5,11;0,21;6,64;9,23;1145;52,16;Regular
UPANO;823240,9;9753001,2;P3;6/4/2018 11:25;21,33;5,08;5,49;51,15;6,92;0,46;7,75;9,66;1134;45,85;Mala
RIO BLANCO;814064,8;9741347,3;P1;06/04/2018  13:25:00 p. m.;19,37;6,62;7,7;97,55;4,07;0,87;2,87;9,59;2681;47,85;Mala
RIO BLANCO;816577,1;9739070,6;P2;06/04/2018  13:25:00 p. m.;18,18;6,06;5,71;95,55;5;0,81;5,44;8,99;1274;47,49;Mala
YUQUIPA;177755,3;9753823,6;P1;7/4/2018 10:25;19,03;5,07;7,75;65,9;3,84;0,15;5,42;7,07;1189;51,68;Regular
YUQUIPA;169088,8;9752598,1;P2;07/04/2018  13:25:00 p. m.;18,45;6,92;5,53;35,58;2,31;0,81;4,44;3,03;1013;55,94;Regular
YUQUIPA;819354,2;9734480,2;P3;07/04/2018  15:25:00 p. m.;20,54;7,21;6,08;61,67;5,78;0,71;1,54;6,39;1387;53,53;Regular
PAN DE AZÚCAR;775073,8;9656337,5;P1;08/04/2018  13:25:00 p. m.;20,91;7,23;5,64;38,7;4,73;0,7;1,44;11,41;948;52,3;Regular
KALAGLAS;771340,9;9649302,5;P1;9/4/2018 10:25;21,62;5,31;6,47;38,57;2,06;0,88;8,97;8,18;1719;48,28;Mala
KALAGLAS;771071,2;9643713;P2;09/04/2018  13:25:00 p. m.;21,76;6,07;6,93;60,35;5,66;0,74;7,36;11,66;530;49,71;Mala
JURUMBAINO;819002,6;9740893,7;P1;10/4/2018 7:25;16,82;7,31;7,25;93,45;3,48;0,95;9,51;11,96;2569;46,58;Mala
JURUMBAINO;817191,1;9748924,1;P2;10/4/2018 9:25;16,58;7,42;7,25;90,69;3,42;0,67;8,2;5,52;2842;51,14;Regular
UPANO;819914,8;9764262;P1;6/9/2018 7:25;19,42;5,63;6,59;63,9;3,54;0,9;1,3;3,18;689;53,15;Regular
UPANO;821124,7;9742271,2;P2;6/9/2018 9:25;18,78;5,47;5,27;91,71;2,47;0,7;5,5;4,83;731;50,96;Regular
UPANO;823240,9;9753001,2;P3;6/9/2018 11:25;19,48;7,33;7,46;83,94;4,49;0,31;5,71;3,46;2406;56,14;Regular
RIO BLANCO;814064,8;9741347,3;P1;06/09/2018  13:25:00 p. m.;21,43;5,03;6,09;44,79;5,33;0,36;2,89;8,79;2706;46,62;Mala
RIO BLANCO;816577,1;9739070,6;P2;06/09/2018  16:25:00 p. m.;19,59;7,82;7,33;82,95;5,18;0,61;5,52;4,91;1229;54,21;Regular
YUQUIPA;177755,3;9753823,6;P1;7/9/2018 10:25;21,58;5,11;7,63;85,85;2,9;0,41;6,71;10,31;2364;46,47;Mala
YUQUIPA;169088,8;9752598,1;P2;07/09/2018  13:25:00 p. m.;18,04;5,96;6,96;86,68;2,79;0,02;9,06;6,69;2562;55,86;Regular
YUQUIPA;819354,2;9734480,2;P3;07/09/2018  15:25:00 p. m.;17,62;7,37;5,22;94,72;2,84;0,13;8,42;4,66;2023;62,82;Regular
PAN DE AZÚCAR;775073,8;9656337,5;P1;08/09/2018  13:25:00 p. m.;18,6;7,73;7,05;93,08;2,07;0,67;2,14;4,37;1830;66,48;Regular
KALAGLAS;771340,9;9649302,5;P1;9/9/2018 10:25;17,58;7,3;7,48;77,15;6,62;0,5;5,89;11,9;1548;50,81;Regular
KALAGLAS;771071,2;9643713;P2;09/09/2018  13:25:00 p. m.;21,42;6,45;5;78,98;5,01;0,38;2,52;2,64;627;53,25;Regular
JURUMBAINO;819002,6;9740893,7;P1;10/9/2018 7:25;17,89;7,19;5,52;73,47;2,58;0,1;9,79;5,5;2199;65,39;Regular
JURUMBAINO;817191,1;9748924,1;P2;10/9/2018 9:25;20,61;7,92;5,36;63,89;6,71;0,23;9,1;3,68;1596;65,05;Regular
UPANO;819914,8;9764262;P1;6/12/2018 7:25;16,54;5,62;7,94;77,14;5,79;0,61;9,51;11,74;2107;51,07;Regular
UPANO;821124,7;9742271,2;P2;6/12/2018 9:25;19,01;6,38;7,44;96,15;3,95;1;8,42;3,24;2632;68,79;Regular
UPANO;823240,9;9753001,2;P3;6/12/2018 11:25;20,19;5,27;6,38;50,07;2,51;0,86;9,15;5,19;1868;55,47;Regular
RIO BLANCO;814064,8;9741347,3;P1;06/12/2018  13:25:00 p. m.;21;6,84;7,65;88,18;3,11;0,92;4,22;7,98;2769;65,64;Regular
RIO BLANCO;816577,1;9739070,6;P2;06/12/2018  16:25:00 p. m.;20,72;7,44;7,25;42,73;3,92;0,64;9,56;4,45;2891;50,91;Regular
YUQUIPA;177755,3;9753823,6;P1;7/12/2018 10:25;18,48;5,22;5,69;85,56;2,94;0,9;7,13;6,67;2747;52,89;Regular
YUQUIPA;169088,8;9752598,1;P2;07/12/2018  13:25:00 p. m.;16,52;6,88;7,65;45,79;2,75;1;7,41;7,29;1533;50,56;Regular
YUQUIPA;819354,2;9734480,2;P3;07/12/2018  15:25:00 p. m.;19,13;5,71;6,46;98,34;4,26;0,54;8,5;9,66;1300;52,48;Regular
PAN DE AZÚCAR;775073,8;9656337,5;P1;08/12/2018  13:25:00 p. m.;21,96;7,42;5,75;56,41;3,46;0,84;7,07;8,16;2170;64,91;Regular
KALAGLAS;771340,9;9649302,5;P1;09/12/2018  13:25:00 p. m.;18,83;7,35;6,1;84,44;2,37;0,3;3,15;8,39;2565;62,11;Regular
KALAGLAS;771071,2;9643713;P2;09/12/2018  13:25:00 p. m.;17,31;6,99;7,2;41,43;3,16;0,53;2,39;5,73;2729;66,1;Regular
JURUMBAINO;819002,6;9740893,7;P1;10/12/2018 7:25;16,35;5,58;7,99;85,53;4,29;0,16;0,57;2,8;1702;66,53;Regular
JURUMBAINO;817191,1;9748924,1;P2;10/12/2018 9:25;20,14;6,93;5,89;85,06;2,43;0,69;2,58;1,55;2906;52,86;Regular
UPANO;819914,8;9764262;P1;6/4/2019 13:25;21,79;6,89;6,22;36,27;4,57;0,22;5,96;9,28;981;66,5;Regular
UPANO;821124,7;9742271,2;P2;6/4/2019 15:25;21,19;5,24;5,5;34,44;6,81;0,44;9,25;6,91;2827;65,05;Regular
UPANO;823240,9;9753001,2;P3;6/4/2019 17:25;20,78;7,59;6,21;40,28;3,94;0,57;1,48;2,8;2670;55,37;Regular
RIO BLANCO;814064,8;9741347,3;P1;06/04/2019  13:25:00 p. m.;18,29;6,68;5,33;64,72;6,19;0,81;4;3,22;704;58,84;Regular
RIO BLANCO;816577,1;9739070,6;P2;06/04/2019  13:25:00 p. m.;19,85;6,44;5,8;72,68;2,68;0,37;0,35;10,54;2385;62,15;Regular
YUQUIPA;177755,3;9753823,6;P1;8/4/2019 10:25;21,71;6,74;5,34;41,3;5,62;0,47;0,88;6,54;2152;64,51;Regular
YUQUIPA;169088,8;9752598,1;P2;07/04/2019  13:25:00 p. m.;21,57;5,65;5,06;88;6,61;0,33;4,49;1,43;1075;52,66;Regular
YUQUIPA;819354,2;9734480,2;P3;07/04/2019  15:25:00 p. m.;20,21;5,57;7,14;59,65;6,44;0,5;5,33;10,49;1574;53,5;Regular
PAN DE AZÚCAR;775073,8;9656337,5;P1;08/04/2019  13:25:00 p. m.;19,16;6,73;7,35;78,97;4,1;0,22;1,61;7,93;2397;52,67;Regular
KALAGLAS;771340,9;9649302,5;P1;10/4/2019 10:25;17,73;6,29;6,77;67,23;3,77;0,07;1,25;2,72;679;57,55;Regular
KALAGLAS;771071,2;9643713;P2;09/04/2019  13:25:00 p. m.;19,89;6,98;5,48;72,03;2,91;0,2;4,01;2,26;2014;65,44;Regular
JURUMBAINO;819002,6;9740893,7;P1;10/4/2019 7:25;17,63;6,61;7,62;59,6;5,73;0,36;6,63;11,27;2643;54,42;Regular
JURUMBAINO;817191,1;9748924,1;P2;10/4/2019 9:25;20,5;5,68;6,24;48,07;5,32;0,77;5,57;5,85;2379;56,96;Regular
UPANO;819914,8;9764262;P1;6/9/2019 7:25;21,72;5,44;5,4;30,59;5,27;0,9;2,17;2,06;1027;51,65;Regular
UPANO;821124,7;9742271,2;P2;6/9/2019 9:25;20,27;5,13;7,71;46,33;4,77;0,52;8,47;4,48;2704;64,53;Regular
UPANO;823240,9;9753001,2;P3;6/9/2019 11:25;18;5,3;7,63;42,23;6,72;0,32;7,71;8,83;786;57,56;Regular
RIO BLANCO;814064,8;9741347,3;P1;06/09/2019  13:25:00 p. m.;16,08;6,93;7,22;46,02;3,3;0,28;9,1;3,43;1746;58,69;Regular
RIO BLANCO;816577,1;9739070,6;P2;06/09/2019  16:25:00 p. m.;21,87;6,4;7,58;65,99;4,82;0,61;5,5;5,71;1378;65,45;Regular
YUQUIPA;177755,3;9753823,6;P1;8/9/2019 10:25;17,23;6,26;6,28;53,56;2,84;0,34;0,58;7,75;1887;58,63;Regular
YUQUIPA;169088,8;9752598,1;P2;07/09/2019  13:25:00 p. m.;18,33;6,95;5,64;97,12;2,91;0,48;2,46;12;1538;56,79;Regular
YUQUIPA;819354,2;9734480,2;P3;07/09/2019  15:25:00 p. m.;18,26;5,14;5,3;67,63;5,48;0,25;0,99;3,01;2792;54,76;Regular
PAN DE AZÚCAR;775073,8;9656337,5;P1;08/09/2019  13:25:00 p. m.;16,91;6,66;6,37;47,81;2,44;0,99;5,48;9,87;1082;63,13;Regular
KALAGLAS;771340,9;9649302,5;P1;10/9/2019 10:25;18,86;6,16;5,86;59,26;6,34;0,77;4,88;10,74;2850;66,46;Regular
KALAGLAS;771071,2;9643713;P2;09/09/2019  13:25:00 p. m.;17,69;6,97;7,28;62,87;3,06;0,96;4,98;5,54;1970;55,28;Regular
JURUMBAINO;819002,6;9740893,7;P1;10/9/2019 7:25;21,28;6,37;7,84;45,21;4,34;0,79;5,89;11,13;2964;62,74;Regular
JURUMBAINO;817191,1;9748924,1;P2;10/9/2019 9:25;18,83;7,94;7,74;41,14;5,12;0,82;8,89;8,76;2932;54,81;Regular
UPANO;819914,8;9764262;P1;6/12/2019 7:25;20,53;5,64;5,09;57,66;5,41;0,13;6,09;11,2;833;59,05;Regular
UPANO;821124,7;9742271,2;P2;6/12/2019 9:25;16,09;7,47;7,66;96,47;5,57;0,42;7,1;2,06;1424;68,97;Regular
UPANO;823240,9;9753001,2;P3;6/12/2019 11:25;17,18;6,7;7,39;86,95;5,06;0,75;7,5;4,44;1688;60,33;Regular
RIO BLANCO;814064,8;9741347,3;P1;06/12/2019  13:25:00 p. m.;19,9;6,38;7,05;69,32;5,65;0,09;6,49;11,6;2035;51,1;Regular
RIO BLANCO;816577,1;9739070,6;P2;06/12/2019  16:25:00 p. m.;17,88;5,33;6,5;77,36;6,11;0,28;7,56;1,3;807;51,4;Regular
YUQUIPA;177755,3;9753823,6;P1;8/12/2019 10:25;19,06;6,92;5,88;55,31;2,38;0,09;3,44;4,82;670;63,57;Regular
YUQUIPA;169088,8;9752598,1;P2;07/12/2019  13:25:00 p. m.;21,48;7,2;7,2;32,56;6,69;0,5;7,16;6,67;919;50,26;Regular
YUQUIPA;819354,2;9734480,2;P3;07/12/2019  15:25:00 p. m.;17,1;7,2;6,48;72,22;2,77;0,08;5,05;6,81;1433;51,66;Regular
PAN DE AZÚCAR;775073,8;9656337,5;P1;08/12/2019  13:25:00 p. m.;17,98;7,56;6,47;52,51;2,29;0,47;3,31;2,16;2260;56,04;Regular
KALAGLAS;771340,9;9649302,5;P1;09/12/2019  13:25:00 p. m.;20,37;6,48;5,75;92,07;4,42;0,92;3,96;4,57;1458;54,62;Regular
KALAGLAS;771071,2;9643713;P2;09/12/2019  13:25:00 p. m.;21,34;6,2;6,8;38,12;3,74;0,65;3,05;6,13;1943;63,57;Regular
JURUMBAINO;819002,6;9740893,7;P1;10/12/2019 11:25;21,64;6,98;5,28;66,72;5,77;0,86;5,15;1,38;2716;63,74;Regular
JURUMBAINO;817191,1;9748924,1;P2;10/12/2019 13:25;21,36;6,52;5,7;93,32;6,6;0,28;8,3;3,25;1768;66,58;Regular
UPANO;819914,8;9764262;P1;6/4/2020 19:25;20,53;6,77;7,53;97,03;2,01;0,16;9,95;10,4;1710;50,36;Regular
UPANO;821124,7;9742271,2;P2;6/4/2020 21:25;17,76;7,28;6,08;33,56;4,79;0,62;2,01;5,75;516;62,74;Regular
UPANO;823240,9;9753001,2;P3;6/4/2020 23:25;20,85;5,01;7,25;38,93;4,88;0,38;3,67;7,12;1703;50,62;Regular
RIO BLANCO;814064,8;9741347,3;P1;06/04/2020  13:25:00 p. m.;21,15;6,61;6,7;83,81;4,71;0,34;9,97;10,74;623;50,65;Regular
RIO BLANCO;816577,1;9739070,6;P2;06/04/2020  13:25:00 p. m.;16,62;5,52;6,72;98,04;3,8;0,01;9,86;4,62;1449;53,6;Regular
YUQUIPA;177755,3;9753823,6;P1;9/4/2020 10:25;17,45;6,86;5,04;64,56;6,74;0,17;2,16;3,78;1608;54,43;Regular
YUQUIPA;169088,8;9752598,1;P2;07/04/2020  13:25:00 p. m.;20,48;5,71;6,82;79,37;6,97;0,41;9,69;2,88;2239;54,02;Regular
YUQUIPA;819354,2;9734480,2;P3;07/04/2020  15:25:00 p. m.;21,57;5,93;7,47;96,08;6,14;0,25;6,35;11,32;2510;56,63;Regular
PAN DE AZÚCAR;775073,8;9656337,5;P1;08/04/2020  13:25:00 p. m.;16,54;5,22;5,95;96,09;5,88;0,36;3,5;1,58;1895;57,91;Regular
KALAGLAS;771340,9;9649302,5;P1;11/4/2020 10:25;21,12;5,83;5,61;49,55;4,42;0,3;6,14;10,92;2187;54,23;Regular
KALAGLAS;771071,2;9643713;P2;09/04/2020  13:25:00 p. m.;21,8;7,93;5,04;36,34;3,01;0,56;9,67;11,43;799;52,09;Regular
JURUMBAINO;819002,6;9740893,7;P1;10/4/2020 7:25;19,33;7,81;7,48;83,89;3,57;0,22;4,2;10,38;827;58,95;Regular
JURUMBAINO;817191,1;9748924,1;P2;10/4/2020 9:25;16,81;5,38;6,56;92,03;6,15;0,77;5,88;8,64;541;61,25;Regular
UPANO;819914,8;9764262;P1;6/9/2020 7:25;21,39;5,75;7,12;94,12;5,55;0,09;1,62;7,61;1299;51,74;Regular
UPANO;821124,7;9742271,2;P2;6/9/2020 9:25;19,13;6,53;6,05;92,12;5,41;0,11;5,25;4,61;2830;56,77;Regular
UPANO;823240,9;9753001,2;P3;6/9/2020 11:25;19,99;7,09;6,11;50,53;4,37;0,68;1,63;4,96;955;50,76;Regular
RIO BLANCO;814064,8;9741347,3;P1;06/09/2020  13:25:00 p. m.;21,28;6,26;5,98;31,51;5,36;0,64;4,2;10,53;2925;62,36;Regular
RIO BLANCO;816577,1;9739070,6;P2;06/09/2020  16:25:00 p. m.;17,34;5,22;6,03;44,84;6,7;0,87;4,83;10,73;512;60,76;Regular
YUQUIPA;177755,3;9753823,6;P1;9/9/2020 10:25;16,63;5,09;7,73;51,15;6,29;0,81;7,17;1,55;1359;61,2;Regular
YUQUIPA;169088,8;9752598,1;P2;07/09/2020  13:25:00 p. m.;19,83;5,96;7,68;93,3;3,01;0,66;8,2;2,66;1488;57,16;Regular
YUQUIPA;819354,2;9734480,2;P3;07/09/2020  15:25:00 p. m.;16,45;7,26;5,34;84,1;4,32;0,05;8,13;11,01;1609;58,37;Regular
PAN DE AZÚCAR;775073,8;9656337,5;P1;08/09/2020  13:25:00 p. m.;20,68;7,53;5,12;98,19;6,02;0,2;0,66;9,5;2712;66,36;Regular
KALAGLAS;771340,9;9649302,5;P1;11/9/2020 10:25;20,58;6,54;6,55;92,73;4,11;0,74;3,87;3,13;2579;66,82;Regular
KALAGLAS;771071,2;9643713;P2;09/09/2020  13:25:00 p. m.;16,9;7,06;6,11;98,7;2,71;0,28;4,77;1,67;1251;64,35;Regular
JURUMBAINO;819002,6;9740893,7;P1;10/9/2020 7:25;16,83;7,89;5,29;30,94;2,97;0,05;6,03;3,29;1075;62,52;Regular
JURUMBAINO;817191,1;9748924,1;P2;10/9/2020 9:25;18,57;7,44;6,48;34,52;6,69;0,28;0,73;7,65;1120;54,91;Regular
UPANO;819914,8;9764262;P1;6/12/2020 7:25;19,12;5,9;7,18;59,97;2,78;0,73;5,45;6,04;2177;53,81;Regular
UPANO;821124,7;9742271,2;P2;6/12/2020 9:25;17,33;6,89;5,89;57,43;3,36;0,55;5,93;4,43;1433;50,68;Regular
UPANO;823240,9;9753001,2;P3;6/12/2020 11:25;16,57;5,93;7,93;60,84;5,75;0,29;8,3;4,89;1713;53,45;Regular
RIO BLANCO;814064,8;9741347,3;P1;06/12/2020  13:25:00 p. m.;21,03;6,15;7,59;70,57;3,84;0,55;4,85;5,11;2689;55,65;Regular
RIO BLANCO;816577,1;9739070,6;P2;06/12/2020  16:25:00 p. m.;17,76;7,94;6,19;53,28;4,28;0,72;3,55;2,05;915;57,72;Regular
YUQUIPA;177755,3;9753823,6;P1;9/12/2020 10:25;19,1;5,66;5,92;33,12;3,93;0,32;0,36;9,63;1185;51,7;Regular
YUQUIPA;169088,8;9752598,1;P2;07/12/2020  13:25:00 p. m.;17,96;7,36;5,17;39,42;3,75;0,07;4,54;7,45;1001;53,65;Regular
YUQUIPA;819354,2;9734480,2;P3;07/12/2020  15:25:00 p. m.;18,62;7,58;5,33;77,86;4,71;0,99;1,6;6,36;2087;65,32;Regular
PAN DE AZÚCAR;775073,8;9656337,5;P1;08/12/2020  13:25:00 p. m.;21,55;5,82;7,78;88,26;5,78;0,72;9,45;1,83;2447;51,67;Regular
KALAGLAS;771340,9;9649302,5;P1;09/12/2020  13:25:00 p. m.;21,69;6,44;7,93;64,72;2,8;0,47;7,62;6,63;1501;64,35;Regular
KALAGLAS;771071,2;9643713;P2;09/12/2020  13:25:00 p. m.;20,95;6,6;6,79;48,62;3,53;0,83;9,18;3,74;1726;65,02;Regular
JURUMBAINO;819002,6;9740893,7;P1;10/12/2020 15:25;21,12;7,76;5,23;36,19;5,66;0,91;0,8;2,6;1352;65,44;Regular
JURUMBAINO;817191,1;9748924,1;P2;10/12/2020 17:25;21,45;5,76;5,68;59,74;2,64;0,78;7,29;5,81;1163;67,16;Regular
UPANO;819914,8;9764262;P1;7/4/2021 1:25;16,54;5,96;5,85;84,98;6,68;0,59;7,88;7,34;2110;67,6;Regular
UPANO;821124,7;9742271,2;P2;7/4/2021 3:25;21,98;6,62;6,62;87,07;3,56;0,05;1,96;9,46;1975;58;Regular
UPANO;823240,9;9753001,2;P3;7/4/2021 5:25;18,71;5,59;5,78;88,85;4,69;0,19;4,01;10,4;1257;60,36;Regular
RIO BLANCO;814064,8;9741347,3;P1;06/04/2021  13:25:00 p. m.;20,65;7,23;5,91;66,9;2,58;0,06;4,39;7,06;916;52,93;Regular
RIO BLANCO;816577,1;9739070,6;P2;06/04/2021  13:25:00 p. m.;17,68;5,7;5,19;66,74;4,59;0,47;1,99;4,76;1734;59,17;Regular
YUQUIPA;177755,3;9753823,6;P1;10/4/2021 10:25;16,39;7,07;6,88;44,46;5,11;0,98;2,46;9,22;2114;57,99;Regular
YUQUIPA;169088,8;9752598,1;P2;07/04/2021  13:25:00 p. m.;19,86;6,6;6,78;34,17;4,41;0,82;9,83;11,21;615;52,94;Regular
YUQUIPA;819354,2;9734480,2;P3;07/04/2021  15:25:00 p. m.;18,7;7,94;5,55;79,3;4,72;0,01;5,79;7,1;2679;65,42;Regular
PAN DE AZÚCAR;775073,8;9656337,5;P1;08/04/2021  13:25:00 p. m.;20,03;7,85;5,28;57,23;4,8;0,38;1,02;10,21;2077;66,84;Regular
KALAGLAS;771340,9;9649302,5;P1;12/4/2021 10:25;19,1;5,08;5,15;71,42;5,15;0,96;9,66;1,38;510;56,93;Regular
KALAGLAS;771071,2;9643713;P2;09/04/2021  13:25:00 p. m.;17,78;7,74;5,16;78,55;4,93;0,51;2,81;4,19;2456;53,29;Regular
JURUMBAINO;819002,6;9740893,7;P1;10/4/2021 7:25;16,2;5,43;6,78;78,94;3,39;0,48;8,78;9,94;2676;65,26;Regular
JURUMBAINO;817191,1;9748924,1;P2;10/4/2021 9:25;21,3;6,81;7,96;91,19;2,66;0,37;6,04;8,28;1611;54,55;Regular
UPANO;819914,8;9764262;P1;6/9/2021 7:25;21,53;7,96;6,94;48,53;3,98;0,54;4,63;6,28;1065;51,11;Regular
UPANO;821124,7;9742271,2;P2;6/9/2021 9:25;21,6;7,67;7,85;42,85;6,87;0,12;3,96;6,26;503;60,83;Regular
UPANO;823240,9;9753001,2;P3;6/9/2021 11:25;19,87;6,64;6,1;83,97;5,45;0,11;4,31;1,02;916;64,88;Regular
RIO BLANCO;814064,8;9741347,3;P1;06/09/2021  13:25:00 p. m.;20,27;7,5;5,88;73,41;5,01;0,08;5,51;3,24;1379;63,94;Regular
RIO BLANCO;816577,1;9739070,6;P2;06/09/2021  16:25:00 p. m.;20,36;7,41;6,94;91,82;5,68;0,2;5,77;6,35;2561;63,35;Regular
YUQUIPA;177755,3;9753823,6;P1;10/9/2021 10:25;16,8;7,09;7,7;97,44;2,45;0,1;1,36;7,58;2905;60,02;Regular
YUQUIPA;169088,8;9752598,1;P2;07/09/2021  13:25:00 p. m.;18,73;7,78;7,35;91,78;3,38;0,56;3,52;9,06;1884;52,9;Regular
YUQUIPA;819354,2;9734480,2;P3;07/09/2021  15:25:00 p. m.;21,36;5,14;5,77;64,53;5,56;0,3;4,41;9,77;755;68,69;Regular
PAN DE AZÚCAR;775073,8;9656337,5;P1;08/09/2021  13:25:00 p. m.;19,19;5,8;6,1;93,24;4,37;0,57;0,55;6,71;2885;57,62;Regular
KALAGLAS;771340,9;9649302,5;P1;12/9/2021 10:25;21,1;5,89;7,14;52,03;5,19;0,53;8,89;2,92;1612;53,95;Regular
KALAGLAS;771071,2;9643713;P2;09/09/2021  13:25:00 p. m.;17,96;5,28;7,47;62,29;5,47;0,77;9,36;3,9;2796;52,64;Regular
JURUMBAINO;819002,6;9740893,7;P1;10/9/2021 7:25;19,98;5,09;6,2;85,35;5,66;0,39;5,6;2,81;2363;67,67;Regular
JURUMBAINO;817191,1;9748924,1;P2;10/9/2021 9:25;21,99;6,69;6,09;39,17;6,11;0,04;6,51;1,5;2700;68,19;Regular
UPANO;819914,8;9764262;P1;6/12/2021 7:25;17,56;5,39;7,25;61,13;2,36;0,87;0,89;2,79;2093;59,92;Regular
UPANO;821124,7;9742271,2;P2;6/12/2021 9:25;19,13;7,95;5,62;61,35;6,93;0,27;3,3;2,41;2824;56,74;Regular
UPANO;823240,9;9753001,2;P3;6/12/2021 11:25;18,73;7,4;6,15;46,21;5,91;0,93;9,78;3,8;762;58,02;Regular
RIO BLANCO;814064,8;9741347,3;P1;06/12/2021  13:25:00 p. m.;17,66;5,54;7,78;32,06;6,58;0,56;9,48;4,17;2428;51,49;Regular
RIO BLANCO;816577,1;9739070,6;P2;06/12/2021  16:25:00 p. m.;17,94;7,3;5,34;78,33;5,42;0,47;0,66;1,38;1545;50,42;Regular
YUQUIPA;177755,3;9753823,6;P1;10/12/2021 10:25;16,82;6,27;7,25;31,7;5,28;0,01;8,77;8,23;2111;63,46;Regular
YUQUIPA;169088,8;9752598,1;P2;07/12/2021  13:25:00 p. m.;20,41;5,21;7,85;47,49;5,1;0,85;5,82;10,83;1661;55,9;Regular
YUQUIPA;819354,2;9734480,2;P3;07/12/2021  15:25:00 p. m.;17,75;6,14;6;65,99;5,58;0,02;6,91;6,53;2550;50,65;Regular
PAN DE AZÚCAR;775073,8;9656337,5;P1;08/12/2021  13:25:00 p. m.;19,28;7,57;5,61;81,76;5,85;0,77;1,48;6,87;2289;68,05;Regular
KALAGLAS;771340,9;9649302,5;P1;09/12/2021  13:25:00 p. m.;17,11;7,96;5,34;74,24;2,7;0,02;8,15;8,46;1715;53,95;Regular
KALAGLAS;771071,2;9643713;P2;09/12/2021  13:25:00 p. m.;20,45;5,59;7,46;91,83;3,52;0,67;6,92;4,27;1645;51,23;Regular
JURUMBAINO;819002,6;9740893,7;P1;10/12/2021 19:25;17,81;5,18;5,1;80,47;6,88;0,87;1,22;4,25;1333;60,87;Regular
JURUMBAINO;817191,1;9748924,1;P2;10/12/2021 21:25;19,64;5,34;6,79;87,82;2,99;0,2;4,89;6,98;1200;53,9;Regular
UPANO;819914,8;9764262;P1;7/4/2022 7:25;21,82;5,35;7,83;80,87;6,75;0,18;2,42;5,84;1745;53,1;Regular
UPANO;821124,7;9742271,2;P2;7/4/2022 9:25;18,37;5,21;7,05;98,69;4,07;0,68;8,8;9,64;1405;64,5;Regular
UPANO;823240,9;9753001,2;P3;7/4/2022 11:25;19,83;6,31;6,83;69,63;2,18;0,13;7,24;2,75;2773;56,14;Regular
RIO BLANCO;814064,8;9741347,3;P1;06/04/2022  13:25:00 p. m.;20,59;6,57;5,41;47,59;2,91;0,49;1,53;2,15;1191;59,26;Regular
RIO BLANCO;816577,1;9739070,6;P2;06/04/2022  13:25:00 p. m.;19,42;6,75;7,49;89,38;4,23;0,95;5,52;1,45;892;66,22;Regular
YUQUIPA;177755,3;9753823,6;P1;11/4/2022 10:25;18,44;6,09;6,52;64,63;5,67;0,88;8;2,32;1099;57,98;Regular
YUQUIPA;169088,8;9752598,1;P2;07/04/2022  13:25:00 p. m.;17,89;5,82;6,97;39,9;2,98;0,75;6,87;4,56;1376;68,25;Regular
YUQUIPA;819354,2;9734480,2;P3;07/04/2022  15:25:00 p. m.;20,26;6,46;5,98;68,86;3,58;0,02;5,49;3,42;590;62,87;Regular
PAN DE AZÚCAR;775073,8;9656337,5;P1;08/04/2022  13:25:00 p. m.;17,95;5;5,36;45,4;6,89;0,57;3,68;1,43;1491;52,31;Regular
